Name,vCenter,Total Hosts,Total Physical Cores,Total VMs,Total Powered ON VMs,Total vCPUs Allocated,Total vCPUs Available,Total Memory (TB),Memory Used(TB)
Cluster_001,vCenter_001,4,64,17,17,73,128,2.24,0.661
Cluster_002,vCenter_001,3,48,12,12,53,96,1.68,0.402
Cluster_003,vCenter_001,3,48,12,12,53,96,1.68,0.434
Cluster_004,vCenter_001,3,48,11,11,49,96,1.68,0.46
Cluster_005,vCenter_001,3,48,13,13,57,96,1.68,0.534
Cluster_006,vCenter_001,3,48,11,11,49,96,1.68,0.468
Cluster_007,vCenter_001,4,64,13,13,69,128,2.24,0.71
Cluster_008,vCenter_001,3,48,11,11,49,96,1.68,0.469
Cluster_009,vCenter_001,3,48,11,11,49,96,1.68,0.46
Cluster_010,vCenter_001,3,48,11,11,49,96,1.68,0.44
Cluster_011,vCenter_001,3,48,11,11,49,96,1.68,0.468
Cluster_012,vCenter_001,3,48,11,11,49,96,1.68,0.444
Cluster_013,vCenter_001,3,48,11,11,49,96,1.68,0.461
Cluster_014,vCenter_001,3,48,11,11,49,96,1.68,0.43
Cluster_015,vCenter_001,3,48,11,11,49,96,1.68,0.457
Cluster_016,vCenter_001,3,48,12,12,53,96,1.68,0.408
Cluster_017,vCenter_001,3,48,12,12,53,96,1.68,0.447
Cluster_018,vCenter_001,3,48,11,11,49,96,1.68,0.432
Cluster_019,vCenter_001,3,48,11,11,49,96,1.68,0.45
Cluster_020,vCenter_001,3,48,11,11,49,96,1.68,0.435
Cluster_021,vCenter_001,3,48,11,11,49,96,1.68,0.432
Cluster_022,vCenter_001,3,48,11,11,49,96,1.68,0.466
Cluster_023,vCenter_001,3,48,11,11,49,96,1.68,0.45
Cluster_024,vCenter_001,3,48,12,12,53,96,1.68,0.434
Cluster_025,vCenter_001,3,48,11,11,49,96,1.68,0.433
Cluster_026,vCenter_001,3,48,11,11,49,96,1.68,0.469
Cluster_027,vCenter_002,3,48,11,11,49,96,1.68,0.424
Cluster_028,vCenter_002,3,48,11,11,49,96,1.68,0.426
Cluster_029,vCenter_002,3,48,11,11,49,96,1.68,0.437
Cluster_030,vCenter_002,3,48,13,13,57,96,1.68,0.492
Cluster_031,vCenter_002,4,64,13,12,69,128,2.24,0.721
Cluster_032,vCenter_002,3,48,14,14,59,96,1.7,0.481
Cluster_033,vCenter_002,4,64,13,13,69,128,2.24,0.711
Cluster_034,vCenter_002,4,64,16,16,77,128,2.24,0.729
Cluster_035,vCenter_002,3,48,14,14,71,96,1.68,0.66
Cluster_036,vCenter_002,3,48,13,13,57,96,1.68,0.504
Cluster_037,vCenter_002,3,48,11,11,49,96,1.68,0.46
Cluster_038,vCenter_002,3,48,12,12,53,96,1.68,0.476
Cluster_039,vCenter_002,3,48,12,12,51,96,1.68,0.473
Cluster_040,vCenter_002,3,48,11,11,49,96,1.68,0.463
Cluster_041,vCenter_002,3,48,12,12,53,96,1.68,0.417
Cluster_042,vCenter_002,3,48,14,14,51,96,1.68,0.451
Cluster_043,vCenter_002,5,80,16,16,85,160,2.81,0.905
Cluster_044,vCenter_002,4,64,11,11,61,128,2.24,0.569
Cluster_045,vCenter_002,4,64,11,11,61,128,2.24,0.644
Cluster_046,vCenter_002,4,64,11,11,61,128,2.24,0.607
Cluster_047,vCenter_002,3,48,13,13,49,96,1.68,0.436
Cluster_048,vCenter_002,3,48,14,14,51,96,1.68,0.454
Cluster_049,vCenter_002,4,64,13,13,69,128,2.24,0.698
Cluster_050,vCenter_002,3,48,14,14,59,96,1.68,0.537
Cluster_051,vCenter_002,4,64,13,13,69,128,2.24,0.747
Cluster_052,vCenter_002,3,48,13,13,57,96,1.68,0.515
Cluster_053,vCenter_002,4,64,13,13,69,128,2.24,0.717
Cluster_054,vCenter_003,3,48,11,11,49,96,1.68,0.47
Cluster_055,vCenter_003,3,48,12,12,53,96,1.68,0.433
Cluster_056,vCenter_003,4,64,11,11,61,128,2.24,0.64
Cluster_057,vCenter_003,3,48,12,12,53,96,1.68,0.444
Cluster_058,vCenter_003,4,64,13,0,77,128,2.24,0.446
Cluster_059,vCenter_003,3,48,11,11,49,96,1.68,0.447
Cluster_060,vCenter_003,3,48,11,11,49,96,1.68,0.455
Cluster_061,vCenter_003,3,48,11,11,49,96,1.68,0.451
Cluster_062,vCenter_003,3,48,11,11,49,96,1.68,0.463
Cluster_063,vCenter_003,3,48,11,11,49,96,1.68,0.454
Cluster_064,vCenter_003,3,48,11,11,49,96,1.68,0.463
Cluster_065,vCenter_003,3,48,11,11,49,96,1.68,0.454
Cluster_066,vCenter_003,3,48,11,11,49,96,1.68,0.428
Cluster_067,vCenter_003,3,48,11,11,49,96,1.68,0.438
Cluster_068,vCenter_003,3,48,12,12,53,96,1.68,0.431
Cluster_069,vCenter_003,3,48,11,11,49,96,1.68,0.447
Cluster_070,vCenter_003,3,48,11,11,49,96,1.68,0.447
Cluster_071,vCenter_003,3,48,11,11,49,96,1.68,0.441
Cluster_072,vCenter_003,3,48,11,11,49,96,1.68,0.441
Cluster_073,vCenter_003,3,48,11,11,49,96,1.68,0.388
Cluster_074,vCenter_003,3,48,12,12,53,96,1.68,0.442
Cluster_075,vCenter_003,3,48,11,11,49,96,1.68,0.448
Cluster_076,vCenter_003,3,48,11,11,49,96,1.68,0.455
Cluster_077,vCenter_003,3,48,11,11,49,96,1.68,0.454
Cluster_078,vCenter_003,3,48,11,11,49,96,1.68,0.439
Cluster_079,vCenter_003,3,48,11,11,49,96,1.7,0.439
